Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
2d6844beeb071857ad2269a1c6190b97,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylotenera,,,,,,,,0,0,0,0,0,0,0,0,0,19,0,0
f01a75b4371a20f9196d07a28c7be7d3,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__LD1-PB3,f__LD1-PB3,g__LD1-PB3,s__uncultured_bacterium,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
db9bff16de5d4b43881b46680bb16a08,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Cyanobacteriales_Incertae_Sedis,g__uncultured,s__uncultured_Antarctic,,,,,,,0,0,0,0,0,0,0,72,29,0,0,0
c300267815edca03e37c2fbab777b6a5,d__Bacteria,p__Armatimonadota,c__uncultured,o__uncultured,f__uncultured,g__uncultured,s__uncultured_bacterium,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
c5d997b6741b756f835d1fe16eb236ff,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__LD1-PB3,f__LD1-PB3,g__LD1-PB3,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,0,17,0,0,0
69ae3b18295b092fdfba37a09ec96029,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__uncultured,f__uncultured,g__uncultured,s__uncultured_Opitutae,,,,,,,0,0,12,0,0,0,0,0,0,0,0,0
1f91a59309dddeeb4fa1a5838d8a9177,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Candidatus_Accumulibacter,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,19
1fd45500a4909dc3c087a229228b4abc,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__DEV114,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
415604690ab3d69fb1226ab5520a3132,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,s__uncultured_bacterium,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
f43ffd94fc6c6d76c18dbfceb547b678,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Cephaloticoccus,s__uncultured_Verrucomicrobia,,,,,,,0,0,12,0,0,0,0,0,0,0,0,0
5312abfef746f103c7d88d8497d0f977,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__UKL13-1,s__alpha_proteobacterium,,,,,,,0,0,0,0,0,0,0,8,0,0,0,0
bb5696dda2d1e5c3d847b6a5747266ec,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__Allorhizobium_vitis,,,,,,,0,0,23,0,0,0,0,0,0,0,0,0
f0c84831d748caa0d1bd1747bf24b157,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae,g__uncultured,,,,,,,,0,13,0,0,0,0,0,0,0,0,0,0
e1b26e6f8a6153f474752ad635af4493,d__Archaea,p__Halobacterota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiales,g__uncultured,s__uncultured_archaeon,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
5586f16c7db029a05d261797155f3eb9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,,,,,,,0,0,23,0,0,0,0,0,0,0,0,0
8436e323187ef426d6a7387d76d07359,d__Bacteria,p__Chloroflexi,c__KD4-96,o__KD4-96,f__KD4-96,g__KD4-96,,,,,,,,0,13,0,0,0,0,0,0,0,0,0,0
76a11a5f66ab8f06121dbf118bf98b44,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
bf8e42a38d88eab6c1fc2e2adb0da329,d__Bacteria,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,0
e3051a1b243bca3b5d2629cc557d4902,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__uncultured,,,,,,,,0,13,0,0,0,0,0,0,0,0,0,0
