# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
1f1de6b41349dc79f20c2672bbf51302	234.0	267.0	180.0	122.0	262.0	159.0	178.0	655.0	694.0	42.0	64.0	93.0
fa7fed3e52e7aba18905dc53dd462001	72.0	26.0	11.0	705.0	546.0	162.0	341.0	243.0	32.0	117.0	448.0	224.0
3ce39f6d6247fb7228ed2905ef166f1b	28.0	580.0	497.0	214.0	23.0	502.0	212.0	46.0	110.0	10.0	50.0	631.0
504c73e7106b8cda71feed98631e99d8	200.0	98.0	210.0	178.0	651.0	45.0	217.0	0.0	82.0	119.0	789.0	266.0
8039a23786adeb9bdf34a93f740481b5	164.0	400.0	524.0	102.0	80.0	70.0	57.0	121.0	1136.0	55.0	80.0	44.0
63f3f17f676a6456cdd2c83b9790aa46	82.0	14.0	32.0	182.0	383.0	141.0	595.0	0.0	8.0	0.0	267.0	1113.0
6f5d9ababb5a32c05334977b7410ed97	56.0	1146.0	214.0	0.0	27.0	0.0	36.0	61.0	1235.0	0.0	0.0	0.0
4417a3cfa138ff05b1a5d20f7bda6da3	0.0	0.0	40.0	121.0	0.0	99.0	395.0	27.0	156.0	0.0	16.0	1867.0
db11585f39d717ec26681651bd41400a	310.0	49.0	0.0	384.0	840.0	98.0	118.0	41.0	0.0	273.0	128.0	475.0
247522594363ddcdb0fb529e9bc6ec9c	43.0	123.0	1725.0	61.0	34.0	347.0	40.0	23.0	150.0	15.0	16.0	68.0
c9423aad6e14d865b0b9242feae781b5	41.0	603.0	144.0	0.0	20.0	0.0	263.0	149.0	1274.0	0.0	0.0	55.0
0ea30682b49c914f67fac43d445e20de	349.0	0.0	0.0	319.0	362.0	499.0	179.0	150.0	0.0	85.0	91.0	405.0
1b34caafa009f2b7687a4b6b0b757fda	567.0	144.0	62.0	75.0	156.0	172.0	50.0	546.0	444.0	70.0	91.0	48.0
56646e53d4d5d8db2d899970ce905782	373.0	33.0	16.0	279.0	224.0	465.0	339.0	32.0	14.0	68.0	140.0	419.0
d5a3592cceaa98a9a1a08dcde5b94faf	0.0	20.0	23.0	1228.0	530.0	17.0	58.0	22.0	0.0	61.0	388.0	35.0
9bfcea2f9c10c17527328206e77ad3f1	0.0	94.0	1430.0	164.0	0.0	0.0	41.0	8.0	18.0	0.0	0.0	571.0
3e57d777f72890f5bd50f6d394639808	18.0	440.0	498.0	0.0	0.0	16.0	18.0	38.0	1199.0	10.0	0.0	0.0
2c774e3d6b0cd108ec71a015902fc1ee	0.0	913.0	454.0	0.0	0.0	0.0	0.0	45.0	811.0	0.0	0.0	0.0
d6b4b7cee2f004ec25e3f30e4a3d27d6	286.0	101.0	33.0	231.0	166.0	167.0	103.0	666.0	147.0	88.0	58.0	168.0
e4cc87ecea0a3a911b572b0153c38ae9	442.0	0.0	99.0	233.0	155.0	219.0	157.0	229.0	144.0	231.0	146.0	120.0
f5fc1083b81247daeb78d6eb56220ed0	292.0	20.0	10.0	340.0	452.0	258.0	408.0	33.0	6.0	64.0	120.0	168.0
b396a70bf10103038bdcf02470f9a073	0.0	923.0	182.0	0.0	0.0	0.0	0.0	111.0	909.0	0.0	0.0	0.0
10c9f3db7be62b61ed9b9c7ef5150e93	529.0	0.0	0.0	408.0	154.0	153.0	104.0	188.0	20.0	120.0	264.0	173.0
25cdbabed31d0c399e8ebcb686a9c265	133.0	439.0	347.0	116.0	104.0	0.0	76.0	193.0	640.0	0.0	34.0	0.0
017403ae58d216600733beea020b045d	519.0	87.0	26.0	394.0	259.0	118.0	146.0	69.0	106.0	55.0	30.0	204.0
7a623577a1ffa59ddc3ed9741b855648	48.0	0.0	371.0	319.0	582.0	95.0	107.0	82.0	0.0	0.0	284.0	110.0
5ab6235dd4f924ce312a743fbbf090f2	0.0	736.0	472.0	0.0	0.0	0.0	0.0	21.0	739.0	0.0	0.0	0.0
af739f0e5a7d7e6040c8f10b0b9c627c	283.0	111.0	79.0	124.0	79.0	41.0	74.0	372.0	277.0	283.0	151.0	20.0
639293615b50f9811b717628f3a086dd	97.0	547.0	344.0	60.0	0.0	34.0	0.0	0.0	750.0	0.0	0.0	52.0
06594009e1b6054ca725702371c31684	83.0	17.0	0.0	125.0	412.0	575.0	114.0	39.0	0.0	19.0	69.0	356.0
a9c0b466a556aa3c1ef591f9e2e2938c	54.0	34.0	0.0	272.0	440.0	467.0	170.0	61.0	0.0	11.0	66.0	211.0
407b067f8d3b207b2e1773dc307ebc8f	83.0	0.0	0.0	269.0	434.0	227.0	158.0	102.0	0.0	85.0	246.0	133.0
c33b96b71457e40f6ac4a0ec1670e71d	166.0	0.0	93.0	271.0	154.0	278.0	110.0	0.0	0.0	162.0	226.0	259.0
cb001c07be14b8398a1733ce04550203	0.0	0.0	164.0	124.0	890.0	132.0	40.0	18.0	0.0	51.0	248.0	48.0
766b08012a3a3592849266cff8af89df	0.0	453.0	192.0	0.0	7.0	0.0	11.0	25.0	1015.0	0.0	0.0	0.0
ef1149b03f9712b88aca052489d60cc2	166.0	688.0	160.0	163.0	47.0	121.0	90.0	26.0	103.0	0.0	55.0	66.0
7337ce78f4730362a539b175a4f7523e	281.0	0.0	12.0	99.0	319.0	160.0	105.0	62.0	0.0	47.0	188.0	384.0
2108fc459279cb381c4cfebad33372bd	44.0	237.0	311.0	40.0	91.0	91.0	39.0	32.0	640.0	0.0	79.0	26.0
6ffaa94a93988d846ddf579e30cdd910	186.0	265.0	279.0	63.0	13.0	58.0	7.0	84.0	614.0	32.0	0.0	17.0
228127c3f703a34b43b044ef5e89db80	64.0	319.0	214.0	50.0	62.0	46.0	111.0	270.0	420.0	16.0	18.0	14.0
9cb787357daba63692dff2ae1bb30b9e	225.0	0.0	0.0	122.0	303.0	47.0	53.0	0.0	0.0	77.0	582.0	186.0
79a86f6714f21bdcf9486424b4833c98	0.0	0.0	9.0	0.0	0.0	0.0	867.0	0.0	26.0	0.0	8.0	641.0
f0ed1419711218d67ab419208ba13068	25.0	16.0	0.0	650.0	182.0	56.0	98.0	70.0	22.0	79.0	113.0	217.0
071427da716d9006329475e29222124e	240.0	58.0	57.0	301.0	117.0	344.0	78.0	40.0	0.0	17.0	88.0	187.0
79ff325ba488b5ee40e25c760a5faf32	0.0	497.0	117.0	0.0	0.0	0.0	0.0	0.0	899.0	0.0	0.0	0.0
b5707ffd793a9826a8f15bd5263316f7	83.0	57.0	127.0	197.0	0.0	86.0	552.0	0.0	88.0	101.0	111.0	104.0
8546535ca4acb08edccdf5062b7a3406	116.0	0.0	0.0	116.0	492.0	127.0	156.0	60.0	121.0	23.0	172.0	114.0
b12cebb9ed48998c0926452ad56f63e4	363.0	0.0	0.0	205.0	155.0	68.0	207.0	77.0	0.0	199.0	169.0	39.0
090f66af5d0d20a9ba480d6d24121ccb	446.0	31.0	22.0	88.0	160.0	115.0	64.0	289.0	81.0	79.0	38.0	58.0
162675eff4a167633a4a7df358de26c0	251.0	73.0	102.0	99.0	45.0	89.0	28.0	231.0	496.0	52.0	0.0	0.0
7d44fee29db0bd91fbda74e84297c8bd	411.0	0.0	31.0	268.0	87.0	96.0	92.0	64.0	128.0	59.0	24.0	203.0
e7e29c2e523a066dd3c7aa1b5f64f3d8	0.0	517.0	98.0	0.0	0.0	0.0	0.0	0.0	844.0	0.0	0.0	0.0
07383624fc4953eebb672a37a9b84c95	0.0	382.0	238.0	0.0	0.0	0.0	0.0	77.0	761.0	0.0	0.0	0.0
fdc606132b9ee22ddd911e0a452b689f	0.0	839.0	37.0	0.0	0.0	0.0	0.0	99.0	461.0	0.0	0.0	0.0
24e0554c6b1d4f1331babdf13ddac8c6	0.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0
d1970abed0b2bfb02fdb47786038a4dc	20.0	23.0	20.0	538.0	164.0	66.0	44.0	69.0	33.0	0.0	52.0	393.0
c4728e6dae932241f3878b061c7191cd	192.0	26.0	0.0	71.0	205.0	128.0	83.0	0.0	36.0	243.0	342.0	91.0
61266b2122023de24151c583e89b296b	102.0	200.0	99.0	54.0	55.0	41.0	88.0	276.0	361.0	61.0	33.0	43.0
25cb8636dff260beb0f5f19e8c33f7ea	33.0	12.0	19.0	248.0	262.0	491.0	111.0	91.0	0.0	8.0	16.0	122.0
8adfad0702ceaa150352dfbfcbf03919	198.0	17.0	20.0	354.0	102.0	185.0	69.0	49.0	0.0	256.0	118.0	39.0
4286d182b5e310767c1eae478748a2f0	0.0	818.0	47.0	0.0	0.0	0.0	0.0	21.0	513.0	0.0	0.0	0.0
85402a17a430c711257d7fc04006fedd	0.0	136.0	395.0	0.0	0.0	85.0	87.0	0.0	430.0	0.0	118.0	125.0
