Feature.ID,BS1,BS2,BS3,BW1,BW2,BW3,kingdom,phylum,class,order,family,genus,species,Consensus
6d05aea622a36ec4c1d3714e1b8d82c4,7,14,0,761,174,697,k__Fungi,,,,,,,0.8
9ea200214a1e6cfbe102ba73962d74b1,1328,41,0,110,115,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,0.583
31710f04c1d3def7bfea4ec1a43757f0,753,122,68,428,65,120,k__Fungi,p__Ascomycota,,,,,,0.545
af64c2dce9c01f16777a1ddd92c9ebe3,0,0,0,80,252,1197,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
878b6bd7870690bf4eb314daadf02092,0,7,0,1117,235,85,k__Fungi,p__Ascomycota,,,,,,0.636
7647339faa6606e2a66a477e2fe52224,0,0,0,0,0,1411,Unassigned,,,,,,,0
45d737b5dccb71e764be08d4273d076f,0,0,0,1139,0,82,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,,0.833
c275b24483e0d450fe8d31de29e850d0,23,53,78,199,554,306,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,,,0.636
804a43764498d03c0148907e0b098fd1,58,108,0,528,244,255,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,,0.727
8954d37f0239fdac7705555b3abc6c60,566,371,181,11,6,12,k__Fungi,,,,,,,0.667
dc7885da6e26b664c98669efc5bb31cd,9,8,0,362,589,57,k__Fungi,p__Ascomycota,,,,,,0.6
95290eb4509b857cde22ea08c8dfacd0,56,80,865,7,0,4,k__Fungi,,,,,,,0.667
