Feature ID	Taxon	Consensus
078901b2880f3cbbe24407d0690c2436	Unassigned	1.0
07a191264c3fd754fa4d8f63f2dfdd5e	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas_sp.;	1.0
07c4cd23be7bf530abc35afe8f9e7d9c	Bacteria;Bacteria_X;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonadaceae_X;Fimbriimonadaceae_X_sp.;	1.0
07cced76b8ac6748cbfdeb09303da6e0	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria	1.0
07cd71ca8ef4eb02473a67c6eb2048d5	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;SM2D12_X;SM2D12_X_sp.;	1.0
07db7add2071c1944934243f2c1f173c	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium_sp.;	0.7
07e53fb11dd77c4d91a379fe1c166047	Bacteria;Bacteria_X;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus_sp.;	1.0
07f42dacca5e0da9a84031b1d6cbdbb2	Unassigned	1.0
0803eb4a64aaed74120b4f15df80973b	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales	1.0
080974e1545f0d57b69730cce1e8d2fc	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia_sp.;	1.0
080ecf1ba8e78f548f5ad21aed5581b7	Archaea;Archaea_X;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaeraceae_X;Nitrososphaeraceae_X_sp.;	0.8
083e46778064be00a92de22439c63a0b	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae	0.6
0841d13d9f3fefb4e554c0288e36afeb	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium_sp.;	0.9
0843ca8744b1994879926feb58da5b39	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	1.0
0849e1570308a9f11ded50b420a40f78	Bacteria;Terrabacteria;Cyanobacteria;Cyanophyceae	1.0
084d2836c548ce2232475c5aa60baf0a	Unassigned	1.0
0866c28c6671e38c5cb4ddc3d9dde795	Unassigned	1.0
0869d732d6c420c645da97e3d536f9d7	Bacteria;Bacteria_X;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1.0
086d4afc92b8e808daff96bfa663d76a	Unassigned	1.0
089cabba55217c69070714f4b2b8d5c2	Unassigned	1.0
08a98343369c068662ae776759c5e767	Bacteria;Bacteria_X;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae	1.0
08bdf8868162ba5acd2a5bc2d98540ec	Unassigned	1.0
08e23f9ac32972821c974ae9a3af5b0d	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;AllorhizobiumNeorhizobiumPararhizobiumRhizobium;AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.;	1.0
08e7eb18c7b621a2c85780cc78d882d1	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	1.0
08ee616e8e9e49760e9bb66ad23e33e3	Bacteria;Bacteria_X;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	0.778
08f48840783bb6206f492826f1898c80	Unassigned	1.0
08f66a2240f7d55283b723ad83707be4	Bacteria;Bacteria_X;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;FukuN18_freshwater_group;FukuN18_freshwater_group_sp.;	1.0
0908b17d208bb94db8c645885e5936af	Unassigned	1.0
0916ea1fb349644c5bebbef249ffa767	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;Mesorhizobium_sp.;	0.8
0922be91ff2a9a2f52804023c14f76ca	Unassigned	1.0
0926cf3d051096898528edb20ac4e88e	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Hydrogenophilaceae	0.7
09295cd82acfbc4a552b2ecaeab50596	Unassigned	1.0
093266b4d51cf39a7b9dfaafe3794d5b	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pirellula;Pirellula_sp.;	1.0
093757160a15e690b6697abd0dd37958	Bacteria;Bacteria_X;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes_sp.;	0.7
093a1f2b0457a6b807f89fdfe26c965a	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	1.0
0954f5084b09303a59e972e235b5394c	Unassigned	1.0
095aff55f7ac4dcfd3d982a6eca5fa99	Unassigned	1.0
09634167150b4d86d3951a48754b21bc	Unassigned	1.0
0966e76e014d577b46420f5979248d99	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella_sp.;	0.857
0976645de53a63a4193363465a64dc5c	Unassigned	1.0
097be052a5d26fac53d9bf984bc4d708	Unassigned	1.0
0994da77adaa4d4bf8833f428a35d1dd	Unassigned	1.0
