Feature.ID,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3,kingdom,sub_kingdom,phylum,class,order,family,genus,species,Consensus
642cb9a657ffbf82e13246b379b6cb5e,0,29,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.,1
70af90649eab9a729772d70e4575cf16,6,11,12,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
91da671cec571f30ac87b3177f1a39a4,0,0,29,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonellaceae_X,Veillonellaceae_X_sp.,1
f215f8acfa113529e0ae57cdd61d3238,0,0,29,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
a50ce33b7d83941147be125767b0ed61,0,0,29,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus_sp.,0.8
f4fa3b07f95b21cb2278ebfa24413219,0,0,29,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,,1
a5639d43092069f7213a56723dc16836,0,0,29,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
5ceeb85a3998ba0f970e7975641180c1,12,0,17,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
b7864238174156f4a8f7a8b900c437d0,0,0,14,0,0,0,0,15,0,0,0,0,Bacteria,Bacteria_X,Chloroflexi,Anaerolineae,SJA15,SJA15_X,SJA15_XX,SJA15_XX_sp.,0.75
482d1554de0b78b817fdf0c00da333f2,16,0,13,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
c60e6fe3bad9a470c64b77dfa010a0ef,0,0,7,0,0,0,0,20,0,0,0,2,Bacteria,Bacteria_X,Actinobacteria,Thermoleophilia,Gaiellales,,,,1
88d0ba323bd3b0460364052f3cd186d3,0,0,0,29,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,1
d256136cd2e9c77c99c3e039466eb3e5,0,0,0,7,0,0,22,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,MM2,MM2_sp.,0.6
3fc947d979b938c3c5419405493d2942,0,0,0,0,0,13,0,0,0,16,0,0,Bacteria,Bacteria_X,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetales_X,Planctomycetales_XX,Planctomycetales_XX_sp.,1
a96b3d7b61acb7a2a4dbcb9d4baa5d09,0,0,0,0,0,0,29,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,BurkholderiaCaballeroniaParaburkholderia,BurkholderiaCaballeroniaParaburkholderia_sp.,0.6
af52f465ba3f5de385745bf3b802f839,0,0,0,0,0,0,0,29,0,0,0,0,Bacteria,Bacteria_X,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,Candidatus_Udaeobacter_sp.,1
8899818d8b1ec8200f36149cef353b19,29,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,,,,1
259e779aa1f64e6c099513da06348fef,29,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_sp.,1
e383968c671dc844ea01cabec0df3587,29,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
0ac0b18f9995cf18552b82a04038cdab,29,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,,,1
8bed46f25f817344a7bcb0d852c03c7b,0,0,0,6,0,5,3,0,14,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus,Photorhabdus_sp.,0.8
b226b2825bb73c2a9e6a36ffff0972f0,0,0,0,17,0,0,0,0,11,0,0,0,Unassigned,,,,,,,,1
a5118d20bec0ff49f871316732c293e7,0,0,0,0,0,0,0,18,10,0,0,0,Unassigned,,,,,,,,1
42d40c8aef9cbb5ea1d5241336da7dee,0,12,7,0,0,0,0,0,9,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Reyranella_sp.,1
f0c4f7024f85407fe9e5317f86b60306,0,10,0,10,0,0,0,0,8,0,0,0,Bacteria,Bacteria_X,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum_sp.,1
b69c2bec83e4f178a29db52b584e43c5,0,0,0,6,0,10,0,0,6,0,0,6,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fulvivirga,Fulvivirga_sp.,0.6
c0db094c62c2f2e59407202ec8a64714,0,28,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum_sp.,1
69959a6c05f3b9d1cc77ad26afc934e3,0,28,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,Undibacterium_sp.,1
912d7c7c3f40bae7b4fde3c30eef3780,0,28,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
abb5d709fcce2be0e5288c879e4bb1e4,2,26,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
24f4065335bca31f5645f5ca10800ee0,14,14,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,Haliangium_sp.,1
e0978bff170e647e977319ca1c0ba0f0,21,7,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
45ff8c57a0c35f5efbe996140311bb4b,0,0,28,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_X,Chitinophagaceae_X_sp.,0.8
1d85f032208c1517d75969a627c46d8a,0,0,28,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_13,Clostridium_sensu_stricto_13_sp.,0.8
9e2dd224f2e1b9d96762f360008439a0,0,0,25,0,0,0,0,0,0,0,0,3,Unassigned,,,,,,,,1
7ca9df6ba8ad44a169467a439dbd7df3,0,0,20,0,0,0,0,8,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Deltaproteobacteria,Sva0485,Sva0485_X,Sva0485_XX,Sva0485_XX_sp.,1
c9af0a38c59c3e101bba09fa23fc5078,0,0,18,0,0,0,3,7,0,0,0,0,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacteraceae_X,Prolixibacteraceae_X_sp.,0.833
f42bd65bfc2178c86ff8891b3ec274f6,0,0,0,28,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
c91e4d8c00e0f0fbba269d32a4858c56,0,0,0,22,0,0,0,0,0,2,4,0,Unassigned,,,,,,,,1
7be09f5346fd26d10c1ad81d58e71347,0,0,0,14,0,14,0,0,0,0,0,0,Unassigned,,,,,,,,1
7520f809c910f27761bcce5e27e6eaba,0,0,0,0,28,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
7700dde61ee60d58e91386133ce9ae28,0,0,0,0,0,15,0,0,0,0,0,13,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,,,,,1
5483587041d6d7ce247305802783a8e7,0,0,0,0,0,10,0,0,0,0,18,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
4dd402c8d2fd2c082e53102e9fbed5cc,0,0,0,0,0,0,28,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
54add269187e2849853018cc430a06cd,7,0,0,0,0,0,21,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_sp.,0.6
175b0f813e6d2bb6bdc9fbd749307132,0,0,0,0,0,0,0,28,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sp.,0.6
7dd15f2ab1c60b827e6439e596936158,17,0,0,0,0,0,0,11,0,0,0,0,Bacteria,Bacteria_X,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetales_X,Planctomycetales_XX,Planctomycetales_XX_sp.,1
9885a000100b0a67b718c8fc5d058c49,28,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
fa862f0c04d271ad028c12dda0bd6d9f,28,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,Sulfuricurvum_sp.,1
af834dc3933636fc1216a7fd56ec2c13,28,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Gemmatimonadetes,Gemmatimonadetes_X,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_sp.,1
638bb30ed4ffff10d0512816dce930a9,24,0,0,0,0,0,0,0,0,0,4,0,Bacteria,Terrabacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcales_X,,,0.8
4d6776e2fa7ce61093f734eb7f9154d1,0,0,0,0,0,0,0,0,27,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
f99026c2855e9264e378c9ecde1d32a2,0,0,0,0,0,0,0,0,27,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_sp.,0.6
1912ea4c15282d57f991178e1c20ccbe,0,0,0,11,0,0,0,0,12,0,0,4,Unassigned,,,,,,,,1
6ecfc278cb1152b726fc0a071e919420,0,0,17,0,0,0,0,0,10,0,0,0,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospiraceae_X,Saprospiraceae_X_sp.,1
648cef8c3e3d6e57f8435774bf6a4a55,0,22,0,0,0,0,0,0,5,0,0,0,Unassigned,,,,,,,,1
f0408759c124f330c19625cd6a1835f3,12,0,7,4,0,0,0,0,4,0,0,0,Unassigned,,,,,,,,1
c1bcac20c2cdf377592bd8cd50e70f0c,0,27,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
e228b04647eb126de5f428c821ded28a,0,27,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Chromatiales,,,,0.6
7c04198ed1310d57ed8b75ed2cf7bc85,0,27,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Order_X,Luteitalea,Luteitalea_sp.,1
4ac0c7e06f1e4cf807634adf0f47d1d3,0,27,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,0.9
1407bfe233dcb5d0ca4808448263a088,0,27,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_sp.,1
ef139a5028e347aeb6415e6b002a26cb,0,22,5,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,Planctomicrobium_sp.,1
9a35d361b0a77e6b927a7497bc05ed4f,14,13,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Chloroflexi,Anaerolineae,SJA15,SJA15_X,SJA15_XX,SJA15_XX_sp.,0.75
6526e18835cf9c30dca7c67a4913b23b,18,9,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
54ac00b10ad423e71998f7aef9e4650a,18,9,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
696f8f2825202b27f9550af5f896aca5,0,8,5,0,0,0,0,0,0,5,9,0,Bacteria,Bacteria_X,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,,,1
85d6f7ab530bc71569588669017320ab,0,0,0,27,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,1
4d66794dfb727c8ae9a407336e2880e2,0,0,0,0,0,17,0,10,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,SWB02_sp.,1
acd8eba9a1ed4c9c260f5206cc8170cf,21,0,0,0,0,0,0,6,0,0,0,0,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,,1
cb7a9d39abbd65446aa082ce194c6b06,22,0,0,0,0,0,0,5,0,0,0,0,Unassigned,,,,,,,,1
4d3533efebd0a0c02e40588e47d61573,27,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_X,Chitinophagaceae_X_sp.,0.8
ff098e29920ad2f3e85eac04e1480430,27,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
b3c69b69abb61cac23f76461bdd73ed0,27,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Actinobacteria,Actinobacteria_X,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces_sp.,1
da14cbc148f0ea5cb03c4b731ed031a9,27,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter,Candidatus_Xiphinematobacter_sp.,1
f188c058f260c502cd93953cbffa2eae,25,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_X,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter_sp.,1
98e7dad416ec61126ed6ef9925064111,0,0,0,0,0,0,0,0,26,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,1
72b33d85bb9ae6c52b04bacd6d4bc398,0,0,0,0,0,0,3,7,9,7,0,0,Unassigned,,,,,,,,1
15536e0e8327dffbe7c4e637b73592f2,0,2,8,3,6,0,0,0,7,0,0,0,Unassigned,,,,,,,,1
a1b0be2e55f5fd1ca7ddeddbc565ff7d,0,0,0,0,0,0,0,9,5,3,0,9,Bacteria,Bacteria_X,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_sp.,1
888e02c2198fdf3bc38cd580d2578f0c,0,0,0,0,0,10,8,0,4,0,4,0,Unassigned,,,,,,,,1
87897e0f510dad6037434cfdac9d127f,0,26,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,1
0037c01a3bbd74d1421eb3871c01240b,0,26,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Luteolibacter_sp.,0.8
7007461307c60f78ae82257ae0e07fba,0,26,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria,Pasteuria_sp.,1
1c29e56e66dbae7e866e8da43801d4be,6,17,3,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
beeee44a1c45eaa36103821c382f8395,0,5,0,0,0,0,0,9,0,0,9,3,Unassigned,,,,,,,,1
c1ca6ed6a021a0f657f715f254f412ba,0,5,6,0,0,0,0,15,0,0,0,0,Unassigned,,,,,,,,1
f2534b5e26c8c12eae3c3ee8e900fd80,0,0,26,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,1
435b93f10a2fb2bf7f1c2122a257dacc,0,0,26,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,0.6
