Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
cf928effb0719f9b442305b060f72743,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,"","","",0,0,204,0,0,0,,,,,,,,,,,,
03899526350fb1988ae109bc80a1eed8,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__PeM15,g__PeM15,"",0,0,3,0,0,0,,,,,,,,,,,,
637da5620ee9750dcc01865b40b4c8a6,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Cyanobacteriales_Incertae_Sedis,g__uncultured,s__uncultured_Antarctic,0,0,11,0,0,0,,,,,,,,,,,,
6ca82f8d7d40dbbda1d5426f7818543e,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Leptolyngbyales,f__Leptolyngbyaceae,g__Chamaesiphon_PCC-7430,s__uncultured_bacterium,0,0,44,0,0,0,,,,,,,,,,,,
6822ccc4f385406009077ae068343801,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__planctomycete_str.,84,573,358,0,0,0,,,,,,,,,,,,
11a23ce6617f870d80c040d8e1c0f970,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",0,26,0,0,0,0,,,,,,,,,,,,
2a0a6367f794e66b396ec215ba393fc7,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1,s__uncultured_bacterium,75,25,103,0,0,0,,,,,,,,,,,,
2bbef530750be42998ff51f83092b9f0,d__Bacteria,p__Verrucomicrobiota,"","","","","",0,0,3,0,0,0,,,,,,,,,,,,
da52105457f443159d5ccbe680f557ae,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__vadinBA26,f__vadinBA26,g__vadinBA26,s__uncultured_bacterium,0,0,11,0,0,0,,,,,,,,,,,,
225671ed33a06c9e372cb09428c37ff1,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__uncultured,s__uncultured_bacterium,0,0,44,0,0,0,,,,,,,,,,,,
2173ff99b55e25f3178d3943d534facc,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__metagenome,67,149,0,344,172,270,,,,,,,,,,,,
56c0d07c64cdba634c11063d4c85370e,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Microcystaceae,g__Chalicogloea_CCALA_975,s__Chroococcus_sp.,0,26,0,0,0,0,,,,,,,,,,,,
